Fecha,Pais,Contagios,Muertos
2020-01-22,China,548.0,17.0
2020-01-23,China,641.0,18.0
2020-01-24,China,918.0,26.0
2020-01-25,China,1401.0,42.0
2020-01-26,China,2067.0,56.0
2020-01-27,China,2869.0,82.0
2020-01-28,China,5501.0,131.0
2020-01-29,China,6077.0,133.0
2020-01-30,China,8131.0,171.0
2020-01-31,China,9790.0,213.0
2020-02-01,China,11878.0,259.0
2020-02-02,China,16615.0,361.0
2020-02-03,China,19701.0,425.0
2020-02-04,China,23690.0,490.0
2020-02-05,China,27419.0,562.0
2020-02-06,China,30563.0,632.0
2020-02-07,China,34085.0,717.0
2020-02-08,China,36788.0,804.0
2020-02-09,China,39800.0,904.0
2020-02-10,China,42316.0,1011.0
2020-02-11,China,44337.0,1111.0
2020-02-12,China,44709.0,1116.0
2020-02-13,China,59842.0,1368.0
2020-02-14,China,66302.0,1520.0
2020-02-15,China,68357.0,1662.0
2020-02-16,China,70456.0,1765.0
2020-02-17,China,72374.0,1863.0
2020-02-18,China,74149.0,2002.0
2020-02-19,China,74556.0,2114.0
2020-02-20,China,75009.0,2236.0
2020-02-21,China,75482.0,2236.0
2020-02-22,China,76932.0,2441.0
2020-02-23,China,76948.0,2443.0
2020-02-24,China,77162.0,2593.0
2020-02-25,China,77670.0,2663.0
2020-02-26,China,78075.0,2715.0
2020-02-27,China,78508.0,2744.0
2020-02-28,China,78834.0,2788.0
2020-02-29,China,79261.0,2835.0
2020-03-01,China,79836.0,2870.0
2020-03-02,China,80036.0,2912.0
2020-03-03,China,80161.0,2945.0
2020-03-04,China,80281.0,2981.0
2020-03-05,China,80432.0,3013.0
2020-03-06,China,80583.0,3042.0
2020-03-07,China,80662.0,3070.0
2020-03-08,China,80709.0,3097.0
2020-03-09,China,80745.0,3120.0
2020-03-10,China,80767.0,3136.0
2020-03-11,China,80795.0,3158.0
2020-03-12,China,80803.0,3169.0
2020-03-13,China,80811.0,3176.0
2020-03-14,China,80837.0,3189.0
2020-03-15,China,80858.0,3199.0
2020-03-16,China,80878.0,3213.0
2020-03-17,China,80896.0,3226.0
2020-03-18,China,80921.0,3237.0
2020-03-19,China,80948.0,3245.0
2020-03-20,China,80994.0,3249.0
2020-03-21,China,81032.0,3255.0
2020-03-22,China,81118.0,3270.0
2020-03-23,China,81142.0,3270.0
2020-03-24,China,81205.0,3277.0
2020-03-25,China,81251.0,3281.0
2020-03-26,China,81329.0,3287.0
2020-03-27,China,81378.0,3292.0
2020-03-28,China,81438.0,3295.0
2020-03-29,China,81481.0,3300.0
2020-03-30,China,81516.0,3304.0
2020-03-31,China,81565.0,3305.0
2020-04-01,China,81596.0,3312.0
2020-04-02,China,81630.0,3318.0
2020-04-03,China,81666.0,3322.0
2020-04-04,China,81681.0,3326.0
2020-04-05,China,81712.0,3329.0
2020-04-06,China,81751.0,3331.0
2020-04-07,China,81783.0,3331.0
2020-04-08,China,81849.0,3333.0
2020-04-09,China,81910.0,3335.0
2020-04-10,China,81952.0,3336.0
2020-04-11,China,82014.0,3339.0
2020-04-12,China,82130.0,3339.0
2020-04-13,China,82204.0,3341.0
2020-04-14,China,82294.0,3341.0
2020-04-15,China,82339.0,3342.0
2020-04-16,China,82386.0,3342.0
2020-04-17,China,82739.0,4632.0
2020-04-18,China,82763.0,4632.0
2020-04-19,China,82780.0,4632.0
2020-04-20,China,82792.0,4632.0
2020-04-21,China,82824.0,4632.0
2020-04-22,China,82835.0,4632.0
2020-04-23,China,82849.0,4632.0
2020-04-24,China,82864.0,4632.0
2020-04-25,China,82872.0,4632.0
2020-04-26,China,82875.0,4633.0
2020-04-27,China,82881.0,4633.0
2020-04-28,China,82903.0,4633.0
2020-04-29,China,82907.0,4633.0
2020-04-30,China,82919.0,4633.0
2020-05-01,China,82920.0,4633.0
2020-05-02,China,82920.0,4633.0
2020-05-03,China,82925.0,4633.0
2020-05-04,China,82926.0,4633.0
2020-05-05,China,82928.0,4633.0
2020-05-06,China,82930.0,4633.0
2020-05-07,China,82931.0,4633.0
2020-05-08,China,82932.0,4633.0
2020-05-09,China,82946.0,4633.0
2020-05-10,China,82963.0,4633.0
2020-05-11,China,82964.0,4633.0
2020-05-12,China,82971.0,4633.0
2020-05-13,China,82974.0,4633.0
2020-05-14,China,82978.0,4633.0
2020-05-15,China,82986.0,4633.0
2020-05-16,China,82992.0,4634.0
2020-05-17,China,82999.0,4634.0
2020-05-18,China,83008.0,4634.0
2020-05-19,China,83008.0,4634.0
2020-05-20,China,83008.0,4634.0
2020-05-21,China,83008.0,4634.0
2020-05-22,China,83016.0,4634.0
2020-05-23,China,83019.0,4634.0
2020-05-24,China,83030.0,4634.0
2020-05-25,China,83037.0,4634.0
2020-05-26,China,83038.0,4634.0
2020-05-27,China,83040.0,4634.0
2020-05-28,China,83040.0,4634.0
2020-05-29,China,83044.0,4634.0
2020-05-30,China,83046.0,4634.0
2020-05-31,China,83062.0,4634.0
2020-06-01,China,83067.0,4634.0
2020-06-02,China,83068.0,4634.0
2020-06-03,China,83067.0,4634.0
2020-06-04,China,83072.0,4634.0
2020-06-05,China,83075.0,4634.0
2020-06-06,China,83081.0,4634.0
2020-06-07,China,83085.0,4634.0
2020-06-08,China,83088.0,4634.0
2020-06-09,China,83091.0,4634.0
2020-06-10,China,83102.0,4634.0
2020-06-11,China,83109.0,4634.0
2020-06-12,China,83120.0,4634.0
2020-06-13,China,83177.0,4634.0
2020-06-14,China,83226.0,4634.0
2020-06-15,China,83266.0,4634.0
